literature,R2%,setup,Stt,Sinc,Sig,Hs(80m or offshore),Tp,tan,D50,dataset,Hs0,L0
POATE2016,2.709066404,NAN,NAN,NAN,NAN,2.548361111,7.158027778,0.098777596,3,LOEBAR,2.548361111,79.97008656
POATE2016,2.914580123,NAN,NAN,NAN,NAN,2.548361111,7.158027778,0.098777596,3,LOEBAR,2.548361111,79.97008656
POATE2016,2.926963473,NAN,NAN,NAN,NAN,2.548361111,7.158027778,0.098777596,3,LOEBAR,2.548361111,79.97008656
POATE2016,2.738944638,NAN,NAN,NAN,NAN,2.576622222,7.14,0.099501087,3,LOEBAR,2.576622222,79.56777811
POATE2016,2.894503642,NAN,NAN,NAN,NAN,2.576622222,7.14,0.099501087,3,LOEBAR,2.576622222,79.56777811
POATE2016,2.770357633,NAN,NAN,NAN,NAN,2.576622222,7.14,0.099501087,3,LOEBAR,2.576622222,79.56777811
POATE2016,3.131852829,NAN,NAN,NAN,NAN,2.725244445,7.14,0.100188404,3,LOEBAR,2.725244445,79.56777811
POATE2016,3.290406977,NAN,NAN,NAN,NAN,2.725244445,7.14,0.100188404,3,LOEBAR,2.725244445,79.56777811
POATE2016,2.937490498,NAN,NAN,NAN,NAN,2.725244445,7.14,0.100188404,3,LOEBAR,2.725244445,79.56777811
POATE2016,2.731336381,NAN,NAN,NAN,NAN,2.822666667,7.374666666,0.1010647,3,LOEBAR,2.822666667,84.8839532
POATE2016,2.938473077,NAN,NAN,NAN,NAN,2.822666667,7.374666666,0.1010647,3,LOEBAR,2.822666667,84.8839532
POATE2016,3.179759964,NAN,NAN,NAN,NAN,2.869611111,7.632861111,0.1010647,3,LOEBAR,2.869611111,90.93174536
POATE2016,3.143095431,NAN,NAN,NAN,NAN,2.869611111,7.632861111,0.1010647,3,LOEBAR,2.869611111,90.93174536
POATE2016,3.225728885,NAN,NAN,NAN,NAN,2.869611111,7.632861111,0.1010647,3,LOEBAR,2.869611111,90.93174536
POATE2016,3.255271113,NAN,NAN,NAN,NAN,2.802,7.261000001,0.1010647,3,LOEBAR,2.802,82.28746453
POATE2016,3.361685487,NAN,NAN,NAN,NAN,2.802,7.261000001,0.1010647,3,LOEBAR,2.802,82.28746453
POATE2016,3.285610425,NAN,NAN,NAN,NAN,2.802,7.261000001,0.1010647,3,LOEBAR,2.802,82.28746453
POATE2016,3.028758701,NAN,NAN,NAN,NAN,2.675466667,7.69,0.101899267,3,LOEBAR,2.675466667,92.29825426
POATE2016,2.973935828,NAN,NAN,NAN,NAN,2.675466667,7.69,0.101899267,3,LOEBAR,2.675466667,92.29825426
POATE2016,3.033132781,NAN,NAN,NAN,NAN,2.675466667,7.69,0.101899267,3,LOEBAR,2.675466667,92.29825426
POATE2016,3.116050532,NAN,NAN,NAN,NAN,2.648444444,7.69,0.101899267,3,LOEBAR,2.648444444,92.29825426
POATE2016,3.18220759,NAN,NAN,NAN,NAN,2.648444444,7.69,0.101899267,3,LOEBAR,2.648444444,92.29825426
POATE2016,3.124103756,NAN,NAN,NAN,NAN,2.648444444,7.69,0.101899267,3,LOEBAR,2.648444444,92.29825426
POATE2016,3.100696987,NAN,NAN,NAN,NAN,2.715888889,7.69,0.101899267,3,LOEBAR,2.715888889,92.29825426
POATE2016,3.151711667,NAN,NAN,NAN,NAN,2.715888889,7.69,0.101899267,3,LOEBAR,2.715888889,92.29825426
POATE2016,2.984786702,NAN,NAN,NAN,NAN,2.715888889,7.69,0.101899267,3,LOEBAR,2.715888889,92.29825426
POATE2016,3.01562053,NAN,NAN,NAN,NAN,2.813194445,7.69,0.10304524,3,LOEBAR,2.813194445,92.29825426
POATE2016,3.077351323,NAN,NAN,NAN,NAN,2.813194445,7.69,0.10304524,3,LOEBAR,2.813194445,92.29825426
POATE2016,3.095045514,NAN,NAN,NAN,NAN,2.813194445,7.69,0.10304524,3,LOEBAR,2.813194445,92.29825426
POATE2016,3.106783886,NAN,NAN,NAN,NAN,2.917427778,8.165377777,0.103574511,3,LOEBAR,2.917427778,104.0622884
POATE2016,3.009147673,NAN,NAN,NAN,NAN,2.917427778,8.165377777,0.103574511,3,LOEBAR,2.917427778,104.0622884
POATE2016,2.947382736,NAN,NAN,NAN,NAN,2.917427778,8.165377777,0.103574511,3,LOEBAR,2.917427778,104.0622884
POATE2016,2.894956526,NAN,NAN,NAN,NAN,2.779277778,8.065111111,0.10304524,3,LOEBAR,2.779277778,101.5223161
POATE2016,3.07437179,NAN,NAN,NAN,NAN,2.779277778,8.065111111,0.10304524,3,LOEBAR,2.779277778,101.5223161
POATE2016,2.829946751,NAN,NAN,NAN,NAN,2.779277778,8.065111111,0.10304524,3,LOEBAR,2.779277778,101.5223161
POATE2016,2.76193459,NAN,NAN,NAN,NAN,2.5783,7.69,0.10304524,3,LOEBAR,2.5783,92.29825426
POATE2016,2.721130988,NAN,NAN,NAN,NAN,2.5783,7.69,0.10304524,3,LOEBAR,2.5783,92.29825426
POATE2016,2.698421157,NAN,NAN,NAN,NAN,2.564833333,7.69,0.101899267,3,LOEBAR,2.564833333,92.29825426
POATE2016,2.837377468,NAN,NAN,NAN,NAN,2.564833333,7.69,0.101899267,3,LOEBAR,2.564833333,92.29825426
POATE2016,2.906595869,NAN,NAN,NAN,NAN,2.564833333,7.69,0.101899267,3,LOEBAR,2.564833333,92.29825426
POATE2016,2.947289526,NAN,NAN,NAN,NAN,2.6116,7.69,0.101899267,3,LOEBAR,2.6116,92.29825426
POATE2016,2.940687852,NAN,NAN,NAN,NAN,2.6116,7.69,0.101899267,3,LOEBAR,2.6116,92.29825426
POATE2016,2.850485456,NAN,NAN,NAN,NAN,2.6116,7.69,0.101899267,3,LOEBAR,2.6116,92.29825426
POATE2016,2.905066723,NAN,NAN,NAN,NAN,2.670111111,7.69,0.101899267,3,LOEBAR,2.670111111,92.29825426
POATE2016,3.080543205,NAN,NAN,NAN,NAN,2.670111111,7.69,0.101899267,3,LOEBAR,2.670111111,92.29825426
POATE2016,3.060758923,NAN,NAN,NAN,NAN,2.670111111,7.69,0.101899267,3,LOEBAR,2.670111111,92.29825426
POATE2016,0.842530164,NAN,NAN,NAN,NAN,1.089961111,5.899833333,0.156433147,10,SLAPTON,1.089961111,54.3275717
POATE2016,0.753902447,NAN,NAN,NAN,NAN,1.047961111,5.719833334,0.156163954,10,SLAPTON,1.047961111,51.06314456
POATE2016,0.874818181,NAN,NAN,NAN,NAN,1.047961111,5.719833334,0.156163954,10,SLAPTON,1.047961111,51.06314456
POATE2016,0.917754598,NAN,NAN,NAN,NAN,1.047961111,5.719833334,0.156163954,10,SLAPTON,1.047961111,51.06314456
POATE2016,0.851792614,NAN,NAN,NAN,NAN,1.03805,6.703055564,0.159172529,10,SLAPTON,1.03805,70.12719145
POATE2016,0.715625479,NAN,NAN,NAN,NAN,1.03805,6.703055564,0.159172529,10,SLAPTON,1.03805,70.12719145
POATE2016,0.680847511,NAN,NAN,NAN,NAN,1.03805,6.703055564,0.159172529,10,SLAPTON,1.03805,70.12719145
POATE2016,0.912655536,NAN,NAN,NAN,NAN,1.11,11.1,0.161210393,10,SLAPTON,1.11,192.3033123
POATE2016,0.770589724,NAN,NAN,NAN,NAN,1.11,11.1,0.161210393,10,SLAPTON,1.11,192.3033123
POATE2016,0.934593018,NAN,NAN,NAN,NAN,1.11,11.1,0.161210393,10,SLAPTON,1.11,192.3033123
POATE2016,0.662718914,NAN,NAN,NAN,NAN,1.211766667,5.259333313,0.128927967,10,SLAPTON,1.211766667,43.17200294
POATE2016,1.235057354,NAN,NAN,NAN,NAN,1.23,10,0.155589402,10,SLAPTON,1.23,156.0776823
POATE2016,1.272190307,NAN,NAN,NAN,NAN,1.23,10,0.155589402,10,SLAPTON,1.23,156.0776823
POATE2016,1.131764184,NAN,NAN,NAN,NAN,1.23,10,0.155589402,10,SLAPTON,1.23,156.0776823
POATE2016,1.100996275,NAN,NAN,NAN,NAN,1.380138889,10.66061111,0.125232616,10,SLAPTON,1.380138889,177.3801465
POATE2016,1.267384844,NAN,NAN,NAN,NAN,1.380138889,10.66061111,0.125232616,10,SLAPTON,1.380138889,177.3801465
POATE2016,1.28594708,NAN,NAN,NAN,NAN,1.380138889,10.66061111,0.125232616,10,SLAPTON,1.380138889,177.3801465
POATE2016,1.251534166,NAN,NAN,NAN,NAN,1.552200001,9.836499991,0.127028177,10,SLAPTON,1.552200001,151.0156649
POATE2016,1.288895429,NAN,NAN,NAN,NAN,1.552200001,9.836499991,0.127028177,10,SLAPTON,1.552200001,151.0156649
POATE2016,1.356189781,NAN,NAN,NAN,NAN,1.552200001,9.836499991,0.127028177,10,SLAPTON,1.552200001,151.0156649
POATE2016,1.348796257,NAN,NAN,NAN,NAN,1.84,4.8,0.126876519,10,SLAPTON,1.84,35.96029799
POATE2016,1.308189402,NAN,NAN,NAN,NAN,1.84,4.8,0.126876519,10,SLAPTON,1.84,35.96029799
POATE2016,1.342497425,NAN,NAN,NAN,NAN,1.84,4.8,0.126876519,10,SLAPTON,1.84,35.96029799
POATE2016,1.216009468,NAN,NAN,NAN,NAN,1.791955555,5.100277779,0.129220324,10,SLAPTON,1.791955555,40.6002275
POATE2016,1.315790397,NAN,NAN,NAN,NAN,1.791955555,5.100277779,0.129220324,10,SLAPTON,1.791955555,40.6002275
POATE2016,1.226934885,NAN,NAN,NAN,NAN,1.791955555,5.100277779,0.129220324,10,SLAPTON,1.791955555,40.6002275
POATE2016,1.323529724,NAN,NAN,NAN,NAN,1.79418889,5.360333335,0.131663164,10,SLAPTON,1.79418889,44.84607117
POATE2016,1.26942612,NAN,NAN,NAN,NAN,1.79418889,5.360333335,0.131663164,10,SLAPTON,1.79418889,44.84607117
POATE2016,1.389945829,NAN,NAN,NAN,NAN,1.79418889,5.360333335,0.131663164,10,SLAPTON,1.79418889,44.84607117
POATE2016,1.373544104,NAN,NAN,NAN,NAN,1.93,5.6,0.133842609,10,SLAPTON,1.93,48.94596116
POATE2016,1.255436541,NAN,NAN,NAN,NAN,1.93,5.6,0.133842609,10,SLAPTON,1.93,48.94596116
POATE2016,1.527120831,NAN,NAN,NAN,NAN,1.93,5.6,0.133842609,10,SLAPTON,1.93,48.94596116
POATE2016,1.521757036,NAN,NAN,NAN,NAN,1.978044444,5.419833334,0.136911506,10,SLAPTON,1.978044444,45.8471845
POATE2016,1.362933215,NAN,NAN,NAN,NAN,1.978044444,5.419833334,0.136911506,10,SLAPTON,1.978044444,45.8471845
POATE2016,1.446835352,NAN,NAN,NAN,NAN,1.978044444,5.419833334,0.136911506,10,SLAPTON,1.978044444,45.8471845
POATE2016,1.307535796,NAN,NAN,NAN,NAN,1.983927778,5.420333332,0.143959617,10,SLAPTON,1.983927778,45.855644
POATE2016,1.393663487,NAN,NAN,NAN,NAN,1.983927778,5.420333332,0.143959617,10,SLAPTON,1.983927778,45.855644
POATE2016,1.393543511,NAN,NAN,NAN,NAN,1.983927778,5.420333332,0.143959617,10,SLAPTON,1.983927778,45.855644
POATE2016,1.262180613,NAN,NAN,NAN,NAN,1.880088889,5.900444447,0.164700405,10,SLAPTON,1.880088889,54.33882695
POATE2016,1.472112391,NAN,NAN,NAN,NAN,1.880088889,5.900444447,0.164700405,10,SLAPTON,1.880088889,54.33882695
POATE2016,1.346895532,NAN,NAN,NAN,NAN,1.880088889,5.900444447,0.164700405,10,SLAPTON,1.880088889,54.33882695
POATE2016,0.963772381,NAN,NAN,NAN,NAN,1.976088889,6.380444444,0.162187227,10,SLAPTON,1.976088889,63.53933574
POATE2016,1.448321095,NAN,NAN,NAN,NAN,1.976088889,6.380444444,0.162187227,10,SLAPTON,1.976088889,63.53933574
POATE2016,1.089846708,NAN,NAN,NAN,NAN,1.976088889,6.380444444,0.162187227,10,SLAPTON,1.976088889,63.53933574
POATE2016,1.147291931,NAN,NAN,NAN,NAN,1.97,5.9,0.160446064,10,SLAPTON,1.97,54.3306412
POATE2016,0.797241382,NAN,NAN,NAN,NAN,1.438877777,6.236444443,0.156361869,10,SLAPTON,1.438877777,60.70366644
POATE2016,0.642586772,NAN,NAN,NAN,NAN,1.438877777,6.236444443,0.156361869,10,SLAPTON,1.438877777,60.70366644
POATE2016,0.692345497,NAN,NAN,NAN,NAN,1.438877777,6.236444443,0.156361869,10,SLAPTON,1.438877777,60.70366644
POATE2016,0.879754195,NAN,NAN,NAN,NAN,1.53,6.3,0.157961576,10,SLAPTON,1.53,61.94723209
POATE2016,0.905175039,NAN,NAN,NAN,NAN,1.53,6.3,0.157961576,10,SLAPTON,1.53,61.94723209
POATE2016,0.844832977,NAN,NAN,NAN,NAN,1.53,6.3,0.157961576,10,SLAPTON,1.53,61.94723209
POATE2016,1.059477394,NAN,NAN,NAN,NAN,1.481955556,5.879611112,0.159280511,10,SLAPTON,1.481955556,53.95578447
POATE2016,0.882131244,NAN,NAN,NAN,NAN,1.481955556,5.879611112,0.159280511,10,SLAPTON,1.481955556,53.95578447
POATE2016,0.99521148,NAN,NAN,NAN,NAN,1.481955556,5.879611112,0.159280511,10,SLAPTON,1.481955556,53.95578447
POATE2016,1.136574517,NAN,NAN,NAN,NAN,1.452005556,5.539833333,0.15927275,10,SLAPTON,1.452005556,47.89985573
POATE2016,1.048544357,NAN,NAN,NAN,NAN,1.452005556,5.539833333,0.15927275,10,SLAPTON,1.452005556,47.89985573
POATE2016,1.030896236,NAN,NAN,NAN,NAN,1.452005556,5.539833333,0.15927275,10,SLAPTON,1.452005556,47.89985573
POATE2016,1.094922214,NAN,NAN,NAN,NAN,1.905333332,11.72055555,0.132126325,10,SLAPTON,1.905333332,214.4061322
POATE2016,0.882150507,NAN,NAN,NAN,NAN,1.905333332,11.72055555,0.132126325,10,SLAPTON,1.905333332,214.4061322
POATE2016,0.918353137,NAN,NAN,NAN,NAN,1.905333332,11.72055555,0.132126325,10,SLAPTON,1.905333332,214.4061322
POATE2016,1.042993141,NAN,NAN,NAN,NAN,1.92,11.1,0.125957516,10,SLAPTON,1.92,192.3033123
POATE2016,1.111780142,NAN,NAN,NAN,NAN,1.92,11.1,0.125957516,10,SLAPTON,1.92,192.3033123
POATE2016,1.035232403,NAN,NAN,NAN,NAN,1.92,11.1,0.125957516,10,SLAPTON,1.92,192.3033123
POATE2016,1.417900222,NAN,NAN,NAN,NAN,1.86595,10.73966667,0.125311913,10,SLAPTON,1.86595,180.0206857
POATE2016,1.289046416,NAN,NAN,NAN,NAN,1.86595,10.73966667,0.125311913,10,SLAPTON,1.86595,180.0206857
POATE2016,1.21909137,NAN,NAN,NAN,NAN,1.86595,10.73966667,0.125311913,10,SLAPTON,1.86595,180.0206857
POATE2016,1.196360835,NAN,NAN,NAN,NAN,1.84805,10.5,0.125311913,10,SLAPTON,1.84805,172.0756447
POATE2016,1.275754927,NAN,NAN,NAN,NAN,1.84805,10.5,0.125311913,10,SLAPTON,1.84805,172.0756447
POATE2016,1.264758337,NAN,NAN,NAN,NAN,1.84805,10.5,0.125311913,10,SLAPTON,1.84805,172.0756447
POATE2016,1.34362863,NAN,NAN,NAN,NAN,1.92,10.5,0.125957516,10,SLAPTON,1.92,172.0756447
POATE2016,1.433650524,NAN,NAN,NAN,NAN,1.92,10.5,0.125957516,10,SLAPTON,1.92,172.0756447
POATE2016,1.297768138,NAN,NAN,NAN,NAN,1.92,10.5,0.125957516,10,SLAPTON,1.92,172.0756447
POATE2016,1.36339637,NAN,NAN,NAN,NAN,1.987772222,10.5,0.126579208,10,SLAPTON,1.987772222,172.0756447
POATE2016,1.397504816,NAN,NAN,NAN,NAN,1.987772222,10.5,0.126579208,10,SLAPTON,1.987772222,172.0756447
POATE2016,1.44442834,NAN,NAN,NAN,NAN,2.043,10.5,0.127178293,10,SLAPTON,2.043,172.0756447
POATE2016,1.408255549,NAN,NAN,NAN,NAN,2.043,10.5,0.127178293,10,SLAPTON,2.043,172.0756447
POATE2016,1.477300939,NAN,NAN,NAN,NAN,2.043,10.5,0.127178293,10,SLAPTON,2.043,172.0756447
POATE2016,1.4089348,NAN,NAN,NAN,NAN,2.09,10.5,0.128313401,10,SLAPTON,2.09,172.0756447
POATE2016,1.559425116,NAN,NAN,NAN,NAN,2.09,10.5,0.128313401,10,SLAPTON,2.09,172.0756447
POATE2016,1.51341638,NAN,NAN,NAN,NAN,1.993911111,10.86033333,0.133160383,10,SLAPTON,1.993911111,184.0886943
POATE2016,1.744060606,NAN,NAN,NAN,NAN,1.993911111,10.86033333,0.133160383,10,SLAPTON,1.993911111,184.0886943
POATE2016,1.770296364,NAN,NAN,NAN,NAN,1.993911111,10.86033333,0.133160383,10,SLAPTON,1.993911111,184.0886943
POATE2016,1.44370645,NAN,NAN,NAN,NAN,1.907877778,10.97933333,0.156902557,10,SLAPTON,1.907877778,188.145029
POATE2016,1.685370519,NAN,NAN,NAN,NAN,1.907877778,10.97933333,0.156902557,10,SLAPTON,1.907877778,188.145029
POATE2016,1.424198547,NAN,NAN,NAN,NAN,1.907877778,10.97933333,0.156902557,10,SLAPTON,1.907877778,188.145029
POATE2016,1.626122486,NAN,NAN,NAN,NAN,1.819966667,10.50033333,0.167607953,10,SLAPTON,1.819966667,172.0865704
POATE2016,1.439953742,NAN,NAN,NAN,NAN,1.819966667,10.50033333,0.167607953,10,SLAPTON,1.819966667,172.0865704
POATE2016,1.080089976,NAN,NAN,NAN,NAN,1.712066667,10.66061111,0.15931319,10,SLAPTON,1.712066667,177.3801466
POATE2016,1.564813069,NAN,NAN,NAN,NAN,1.712066667,10.66061111,0.15931319,10,SLAPTON,1.712066667,177.3801466
POATE2016,1.237516717,NAN,NAN,NAN,NAN,1.2437,11.41966667,0.15590944,10,SLAPTON,1.2437,203.5390118
POATE2016,1.134874141,NAN,NAN,NAN,NAN,1.2437,11.41966667,0.15590944,10,SLAPTON,1.2437,203.5390118
POATE2016,0.943409648,NAN,NAN,NAN,NAN,1.2437,11.41966667,0.15590944,10,SLAPTON,1.2437,203.5390118
POATE2016,1.240591933,NAN,NAN,NAN,NAN,1.2271,10.25899999,0.156764832,10,SLAPTON,1.2271,164.2672045
POATE2016,1.050066437,NAN,NAN,NAN,NAN,1.2271,10.25899999,0.156764832,10,SLAPTON,1.2271,164.2672045
POATE2016,1.061911596,NAN,NAN,NAN,NAN,1.2271,10.25899999,0.156764832,10,SLAPTON,1.2271,164.2672045
POATE2016,1.243511039,NAN,NAN,NAN,NAN,1.21,5.3,0.157555241,10,SLAPTON,1.21,43.84222095
POATE2016,1.14177241,NAN,NAN,NAN,NAN,1.21,5.3,0.157555241,10,SLAPTON,1.21,43.84222095
POATE2016,1.118612103,NAN,NAN,NAN,NAN,1.21,5.3,0.157555241,10,SLAPTON,1.21,43.84222095
POATE2016,1.860408617,NAN,NAN,NAN,NAN,2.084022222,9.1,0.0942675,20,HAYLING,2.084022222,129.2479287
POATE2016,1.792769238,NAN,NAN,NAN,NAN,2.084022222,9.1,0.0942675,20,HAYLING,2.084022222,129.2479287
POATE2016,2.022875787,NAN,NAN,NAN,NAN,2.126072222,9.1,0.09409936,20,HAYLING,2.126072222,129.2479287
POATE2016,1.721324858,NAN,NAN,NAN,NAN,2.126072222,9.1,0.09409936,20,HAYLING,2.126072222,129.2479287
POATE2016,2.015943259,NAN,NAN,NAN,NAN,2.23,9.1,0.094182256,20,HAYLING,2.23,129.2479287
POATE2016,1.818268968,NAN,NAN,NAN,NAN,2.23,9.1,0.094182256,20,HAYLING,2.23,129.2479287
POATE2016,2.279847298,NAN,NAN,NAN,NAN,2.296061111,9.1,0.09423368,20,HAYLING,2.296061111,129.2479287
POATE2016,2.063436871,NAN,NAN,NAN,NAN,2.296061111,9.1,0.09423368,20,HAYLING,2.296061111,129.2479287
POATE2016,2.348231418,NAN,NAN,NAN,NAN,2.342005556,9.1,0.09423368,20,HAYLING,2.342005556,129.2479287
POATE2016,2.036459725,NAN,NAN,NAN,NAN,2.342005556,9.1,0.09423368,20,HAYLING,2.342005556,129.2479287
POATE2016,2.230705007,NAN,NAN,NAN,NAN,2.35,9.1,0.095139327,20,HAYLING,2.35,129.2479287
POATE2016,1.955454253,NAN,NAN,NAN,NAN,2.35,9.1,0.095139327,20,HAYLING,2.35,129.2479287
POATE2016,2.479674587,NAN,NAN,NAN,NAN,2.422066667,15.64605555,0.095639535,20,HAYLING,2.422066667,382.07669
POATE2016,2.256941419,NAN,NAN,NAN,NAN,2.422066667,15.64605555,0.095639535,20,HAYLING,2.422066667,382.07669
POATE2016,2.433877528,NAN,NAN,NAN,NAN,2.494066666,17.99444447,0.096086286,20,HAYLING,2.494066666,505.379585
POATE2016,2.336499882,NAN,NAN,NAN,NAN,2.494066666,17.99444447,0.096086286,20,HAYLING,2.494066666,505.379585
POATE2016,2.584621543,NAN,NAN,NAN,NAN,2.59,10,0.094056319,20,HAYLING,2.59,156.0776823
POATE2016,2.196494314,NAN,NAN,NAN,NAN,2.59,10,0.094056319,20,HAYLING,2.59,156.0776823
POATE2016,2.476644468,NAN,NAN,NAN,NAN,2.463883333,17.32677777,0.095396235,20,HAYLING,2.463883333,468.572091
POATE2016,2.44362494,NAN,NAN,NAN,NAN,2.463883333,17.32677777,0.095396235,20,HAYLING,2.463883333,468.572091
POATE2016,2.89900512,NAN,NAN,NAN,NAN,2.384011111,22.2,0.096086286,20,HAYLING,2.384011111,769.2132493
POATE2016,2.365171251,NAN,NAN,NAN,NAN,3.503200001,10,0.091775495,20,HAYLING,3.503200001,156.0776823
POATE2016,2.120861237,NAN,NAN,NAN,NAN,3.503200001,10,0.091775495,20,HAYLING,3.503200001,156.0776823
POATE2016,2.215302269,NAN,NAN,NAN,NAN,3.21,10,0.089644956,20,HAYLING,3.21,156.0776823
POATE2016,2.188086294,NAN,NAN,NAN,NAN,3.21,10,0.089644956,20,HAYLING,3.21,156.0776823
POATE2016,1.930148868,NAN,NAN,NAN,NAN,3,12.5,0.087857275,20,HAYLING,3,243.8713785
POATE2016,1.325433215,NAN,NAN,NAN,NAN,2.65,12.5,0.090189911,20,HAYLING,2.65,243.8713785
